"","Latitude","Longitude","Date","MODIS_Tile","MOD13A1_006_Line_Y_500m","MOD13A1_006_Sample_X_500m","MOD13A1_006__500m_16_days_NDVI","MOD13A1_006__500m_16_days_VI_Quality","MOD13A1_006__500m_16_days_VI_Quality_bitmask","MOD13A1_006__500m_16_days_VI_Quality_MODLAND","MOD13A1_006__500m_16_days_VI_Quality_MODLAND_Description","MOD13A1_006__500m_16_days_VI_Quality_VI_Usefulness","MOD13A1_006__500m_16_days_VI_Quality_VI_Usefulness_Description","MOD13A1_006__500m_16_days_VI_Quality_Aerosol_Quantity","MOD13A1_006__500m_16_days_VI_Quality_Aerosol_Quantity_Description","MOD13A1_006__500m_16_days_VI_Quality_Adjacent_cloud_detected","MOD13A1_006__500m_16_days_VI_Quality_Adjacent_cloud_detected_Description","MOD13A1_006__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction","MOD13A1_006__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description","MOD13A1_006__500m_16_days_VI_Quality_Mixed_Clouds","MOD13A1_006__500m_16_days_VI_Quality_Mixed_Clouds_Description","MOD13A1_006__500m_16_days_VI_Quality_Land.Water_Mask","MOD13A1_006__500m_16_days_VI_Quality_Land.Water_Mask_Description","MOD13A1_006__500m_16_days_VI_Quality_Possible_snow.ice","MOD13A1_006__500m_16_days_VI_Quality_Possible_snow.ice_Description","MOD13A1_006__500m_16_days_VI_Quality_Possible_shadow","MOD13A1_006__500m_16_days_VI_Quality_Possible_shadow_Description","lon","lat","flag_br","flag_norte","flag_nordeste","flag_sul","flag_sudeste","flag_centroeste"
"1",-24.24708176,-48.48970795,"2014-12-19","h13v11",1019,1389,0.8645,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-48.48970795,-24.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"2",-24.24708176,-48.48970795,"2015-01-01","h13v11",1019,1389,0.8645,2112,"0b0000100001000000","0b00","VI produced with good quality","0b0000","Highest quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-48.48970795,-24.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"3",-24.24708176,-48.48970795,"2015-01-17","h13v11",1019,1389,0.8403,2112,"0b0000100001000000","0b00","VI produced with good quality","0b0000","Highest quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-48.48970795,-24.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4",-24.24708176,-48.48970795,"2015-02-18","h13v11",1019,1389,0.8577,2112,"0b0000100001000000","0b00","VI produced with good quality","0b0000","Highest quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-48.48970795,-24.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"5",-24.24708176,-48.48970795,"2015-03-06","h13v11",1019,1389,0.9206,2441,"0b0000100110001001","0b01","VI produced, but check other QA","0b0010","Decreasing quality (0010)","0b10","Average","0b1","Yes","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-48.48970795,-24.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"6",-24.24708176,-48.48970795,"2015-03-22","h13v11",1019,1389,0.8806,2112,"0b0000100001000000","0b00","VI produced with good quality","0b0000","Highest quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-48.48970795,-24.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"7",-24.24708176,-48.48970795,"2015-04-07","h13v11",1019,1389,0.8789999,2112,"0b0000100001000000","0b00","VI produced with good quality","0b0000","Highest quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-48.48970795,-24.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"8",-24.24708176,-48.48970795,"2015-04-23","h13v11",1019,1389,0.8866,2112,"0b0000100001000000","0b00","VI produced with good quality","0b0000","Highest quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-48.48970795,-24.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"9",-24.24708176,-48.48970795,"2015-05-09","h13v11",1019,1389,0.9054,2112,"0b0000100001000000","0b00","VI produced with good quality","0b0000","Highest quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-48.48970795,-24.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"10",-24.24708176,-48.48970795,"2015-05-25","h13v11",1019,1389,0.8958,2112,"0b0000100001000000","0b00","VI produced with good quality","0b0000","Highest quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-48.48970795,-24.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
