"","lon","lat","xco2"
"1",-53.02,-22.55,392.120232261257
"2",-52.73,-22.38,391.221151802272
"3",-52.7,-22.4,391.355620181178
"4",-52.68,-22.49,390.090789839382
"5",-52.68,-22.47,390.532393853054
"6",-52.68,-22.35,390.337926714382
"7",-52.67,-22.55,390.191063872585
"8",-52.67,-22.51,389.905106235866
"9",-52.67,-22.46,389.879584409694
"10",-52.67,-22.37,391.273359448757
"11",-52.66,-22.32,390.425048706569
"12",-52.65,-22.49,391.255562173366
"13",-52.63,-22.47,390.054019595241
"14",-52.63,-22.36,391.309678804225
"15",-52.62,-22.44,391.101092358913
"16",-52.62,-22.37,390.622339321804
"17",-52.62,-22.35,391.432168433132
"18",-52.62,-22.33,391.15824145071
"19",-52.61,-22.4,393.160105425319
"20",-52.61,-22.33,392.580063345241
"21",-52.61,-22.32,392.371688120632
"22",-52.6,-22.48,391.530326587428
"23",-52.59,-22.32,392.325736577663
"24",-52.58,-22.37,391.333895103054
"25",-52.58,-22.3,390.811469009304
"26",-52.57,-22.51,391.396625786647
"27",-52.57,-22.34,391.653984849147
"28",-52.55,-22.52,392.56387004446
"29",-52.54,-22.48,391.884319272975
"30",-52.54,-22.34,391.799317485866
"31",-52.51,-22.53,387.628332583522
"32",-52.51,-22.45,392.979335151882
"33",-52.5,-22.57,387.132643491725
"34",-52.48,-22.55,388.41655645071
"35",-52.47,-22.54,388.159240161647
"36",-52.45,-22.52,390.888587690944
"37",-52.44,-22.59,384.930069009304
"38",-52.43,-22.29,390.569415230007
"39",-52.42,-22.27,391.175102769069
"40",-52.42,-22.26,391.153810991725
"41",-52.42,-22.19,388.747924438991
"42",-52.41,-22.38,392.7210131011
"43",-52.41,-22.33,391.864841245632
"44",-52.41,-22.29,391.357094946804
"45",-52.41,-22.23,390.942521938991
"46",-52.4,-22.3,389.648850923366
"47",-52.4,-22.23,392.093199956569
"48",-52.4,-22.22,390.486681870632
"49",-52.39,-22.37,393.358677534694
"50",-52.39,-22.36,391.919444761257
"51",-52.39,-22.3,389.734582730007
"52",-52.39,-22.26,390.73456566946
"53",-52.39,-22.23,391.186439087428
"54",-52.39,-22.2,391.694657964382
"55",-52.39,-22.19,391.884636821804
"56",-52.38,-22.38,393.52619645071
"57",-52.38,-22.31,390.726583022975
"58",-52.38,-22.29,390.789860620632
"59",-52.38,-22.22,391.562547437038
"60",-52.38,-22.21,391.532797739772
"61",-52.38,-22.2,392.696405396022
"62",-52.38,-22.19,391.31574879446
"63",-52.38,-22.18,390.312972056178
"64",-52.38,-22.16,391.447486392116
"65",-52.38,-22.15,388.505832114772
"66",-52.37,-22.38,392.54243973196
"67",-52.37,-22.36,390.958746133326
"68",-52.37,-22.34,390.466731147975
"69",-52.37,-22.3,391.403010806178
"70",-52.37,-22.29,390.855448560085
"71",-52.37,-22.26,391.64756388235
"72",-52.37,-22.25,390.241791245632
"73",-52.37,-22.24,392.144054292507
"74",-52.37,-22.22,390.999139839382
"75",-52.37,-22.19,390.095691724147
"76",-52.37,-22.16,389.701190244655
"77",-52.37,-22.13,392.372420522975
"78",-52.36,-22.48,392.721266011257
"79",-52.36,-22.47,390.668909741725
"80",-52.36,-22.46,392.154271997585
"81",-52.36,-22.45,391.208940874538
"82",-52.36,-22.35,390.541345063991
"83",-52.36,-22.3,389.800688976751
"84",-52.36,-22.28,390.985566021022
"85",-52.36,-22.27,391.620186626491
"86",-52.36,-22.26,391.89979223196
"87",-52.36,-22.24,391.390125454616
"88",-52.36,-22.22,391.000582095241
"89",-52.36,-22.2,392.659608130397
"90",-52.36,-22.15,392.665626685085
"91",-52.36,-22.14,389.378547690944
"92",-52.36,-22.13,391.674773960475
"93",-52.36,-22.12,389.003119243678
"94",-52.35,-22.36,392.469959282741
"95",-52.35,-22.35,392.347749478054
"96",-52.35,-22.32,390.386557300319
"97",-52.35,-22.31,390.485764624538
"98",-52.35,-22.3,389.383341265163
"99",-52.35,-22.26,391.39819947317
"100",-52.35,-22.24,391.1592962261
"101",-52.35,-22.23,390.575454585475
"102",-52.35,-22.22,390.979714937038
"103",-52.35,-22.21,391.552286802272
"104",-52.35,-22.19,390.774048911647
"105",-52.35,-22.18,391.405334751491
"106",-52.35,-22.15,391.024933355006
"107",-52.35,-22.13,391.01857150442
"108",-52.35,-22.11,390.306269639186
"109",-52.34,-22.34,390.699252505397
"110",-52.34,-22.33,390.152661313991
"111",-52.34,-22.3,390.858120308132
"112",-52.34,-22.24,392.837185386257
"113",-52.34,-22.23,391.372612173366
"114",-52.34,-22.22,390.933298628444
"115",-52.34,-22.21,391.503501055202
"116",-52.34,-22.18,392.351094956569
"117",-52.34,-22.17,389.804123384304
"118",-52.34,-22.13,391.5491715386
"119",-52.33,-22.34,391.730999077663
"120",-52.33,-22.31,392.912886108913
"121",-52.33,-22.3,389.294229354355
"122",-52.33,-22.24,389.801325962428
"123",-52.33,-22.23,391.09588176321
"124",-52.33,-22.22,391.921293315944
"125",-52.33,-22.19,390.2342890386
"126",-52.33,-22.15,389.771878096217
"127",-52.33,-22.13,390.523178491725
"128",-52.33,-22.11,390.371177095241
"129",-52.32,-22.36,391.841945972194
"130",-52.32,-22.35,391.216277212428
"131",-52.32,-22.33,393.122190112819
"132",-52.32,-22.23,392.419070845241
"133",-52.32,-22.21,391.141200264186
"134",-52.32,-22.19,391.823099722194
"135",-52.32,-22.17,391.492745737819
"136",-52.32,-22.16,390.947502896022
"137",-52.31,-22.38,392.653134917507
"138",-52.31,-22.37,392.566738813991
"139",-52.31,-22.34,389.783056196804
"140",-52.31,-22.29,390.716362586777
"141",-52.31,-22.27,391.069859297389
"142",-52.31,-22.26,391.71494138235
"143",-52.31,-22.23,390.650973784694
"144",-52.31,-22.19,389.801438901882
"145",-52.31,-22.14,389.727539985866
"146",-52.31,-22.08,390.469786118678
"147",-52.3,-22.59,389.600617993678
"148",-52.3,-22.54,391.278237593287
"149",-52.3,-22.44,391.208862642116
"150",-52.3,-22.36,391.159720005397
"151",-52.3,-22.33,391.019636392116
"152",-52.3,-22.31,389.603941938991
"153",-52.3,-22.27,392.359331196803
"154",-52.3,-22.26,391.047040181178
"155",-52.3,-22.18,391.117975151882
"156",-52.3,-22.01,392.81764013235
"157",-52.29,-22.37,391.720743247585
"158",-52.29,-22.31,392.407714053249
"159",-52.29,-22.3,391.30199723196
"160",-52.29,-22.25,390.722362329616
"161",-52.29,-22.12,390.638595903835
"162",-52.29,-22.05,389.430746206569
"163",-52.28,-22.41,391.761589087428
"164",-52.28,-22.39,392.637575674342
"165",-52.28,-22.35,390.017761499538
